userName,content,score,sentimen,sentimen_encoded
Emanuel Leta,mantap esok esok order cepat mantap,5,Puas,1
Togi Jelek,drivernya nambah ongkos alas rumah gaada order pdhl pas nyampe langsung trs hp biar nilai pdhl pake seragam dll gjls,1,Tidak Puas,2
Juju Amaliyah,kode masuk bet batas kirim kode habis aga laen,1,Netral,0
Raka Arifky,customer langanan promo,5,Puas,1
Hola hop,woyy isi waleet maxim masuk masuk anehh udahh lamaa masuk masuk kocakkk,1,Netral,0
Ari Doank,bagus,5,Puas,1
Trisno Mu,lelet tay lo,1,Tidak Puas,2
PRADEV J5,mantap,5,Puas,1
Dwi Purnomo,coba jasa maxim rumah stasiun ongkos beda dikit grab maxim grab ya dikit murah driver ramah bilang ngebut gatau nama drivernya tau prosedur selamat nyaman tumpang bahaya,3,Netral,0
Bonjol Tegal,bagus,5,Puas,1
Anastasya Lahiwu,kadang alamat murah jangkau,1,Tidak Puas,2
Rifki Revand,maxim murah kirim foto driver baca maps,1,Netral,0
Faisal Sahroni,kode akses,1,Netral,0
Aurelia Salsabila,aman,5,Netral,0
Devi AtikaSari,kirim uang kaspro masuk kaspro,1,Netral,0
Jas Mani,bantu,5,Netral,0
Mariati Bintang,kali buka media sosial iklan aplikasi muncul ganggu banget tolong kurang iklan iklan muncul aplikasi ganggu,1,Puas,1
Eni Iswana,spg delta plaza halal penuh target konsumen curi email sy kali tahu sy sy tahu kode verifikasi google masuk sms nomer kontak sy mohon proses spg tsb krn sy suka dgn,1,Netral,0
Rizal Irgy,bagus tinggal tambah fitur riwayat cari kalo ngetik ulang,5,Puas,1
Yupy Citra Dewi,maxim taik banget kaspro ngga ngga ngotak banget anj,3,Netral,0
Risman Firmansyah,,5,Netral,0
Opal Nichi,tolong baik order food toko tutup cancel terang toko tutup,1,Tidak Puas,2
Diah Damayanti,kalo transfer kaspro dana langsung masuk duit ilang,1,Netral,0
Ahmad Syarif,kali naek maxim kecewa bikin laka lantas kepala bentur motor sampe bocor dpet drever ngerokok bawa tumpang klw blm aplikator bikin aplikasi kasih arah drever bener bles komen klw emang peduli customer bales komenan jagan diem,1,Tidak Puas,2
Taufik Ramdani,susah banget kirim kode otp maxim ampun,1,Tidak Puas,2
Gladis Helda,bagus bngtt cumn maps kurg update daerah kotabaru kalsel smoga cepet diupdate maxim baguss poll,5,Puas,1
Nabila Fawwaz Rifqah,ekonomis tolong upgrade lg ngirim foto khsusnya delivery titik lokasi banyak lg,3,Tidak Puas,2
Sri Astuti,apk layan buruk temu drivernya ketemu batal cepat rumah sakit ngantar sakit auto,1,Tidak Puas,2
Sahlan Sahlan,kecewa sopir maxim cerewet omong kecewa banget,2,Tidak Puas,2
Gamaliel Sangadi,aplikasi manfaat,5,Netral,0
Sri Leatari,jalan lancar cepat proses,5,Netral,0
Rahmah Yackub,maps gajelas,1,Tidak Puas,2
Mulif aji Candra,guna maxim jasa biaya tambah tunggu tolong cermat sifat driver driver toleransi dateng dichat karna driver pasu tarif tunggu pemberitahuan terkadang minimal batas tunggu aplikasi menit toleransi driver menit driver nunggu dicancel karna klo macet,5,Tidak Puas,2
Muhammad Albert Mayora,buruk eror,1,Tidak Puas,2
Mei,anj anj anjjj gw tf dr bca kaspro dana blokir bca hasil lho tf nyaa emg anjjj bgtt dah aplikasi,1,Netral,0
Gabriel Nainggolan,bsa sepi,1,Netral,0
riny mayasari,driver org blm naek status sdh antarkn plat kendara dtg beda akun driver bs k org driver dtg tumpang suruh cancel,1,Tidak Puas,2
Harry zizwanto,isi sgt buruk lambat kemudi sgt ribet non tunai,2,Tidak Puas,2
Gojil Gojil,mantaf pakai,5,Netral,0
Man Bae,bantu,5,Netral,0
Yana Suparya,ok,5,Puas,1
Aceng Supriadi,cepat harga ekonomis,5,Netral,0
MasBrorrrowalah Mantabbslaooaaloe,antab,5,Netral,0
andikucing Lucu,alamat tuju detail baik lg jemput titik antar,2,Puas,1
Fandi,lot banget login nunggu kode verifikasi kaga muncul,1,Netral,0
Ekasrimuhayati Ekasrimuhayati,top,5,Puas,1
Berbard Bir,aplikasi ngirim sms verif,1,Netral,0
ishaq chandra,uninstall install huuft,3,Netral,0
OeCoEp AyMeYyO,,5,Netral,0
Naufal N,kpk bagus tolong cari orang kalo langsung jalan tolong banyakin orang orang ojek,2,Puas,1
nurlaelatayeb26 nurlaelatayeb26,driver ramah,5,Netral,0
Sn,mohon baik titik lokasi terima ksh,4,Puas,1
Lana ptra,bagus ramah cepat,5,Puas,1
Wisen Stevannes,titik map benerin suka ngaco,2,Tidak Puas,2
Monik,bagus,5,Puas,1
Tegie Pratama,buruk otp ayap ni aplikasi ud benerrr ayap,3,Tidak Puas,2
Swastika ARD,dah capek pake nih mitra niat bantu niat ramein lapor kaga tanggep dm kaga bales komen drivernya nyolot nyaman customer sorry uninstall pake gw hati tpi gada feedback ramah customer,1,Tidak Puas,2
Hendry Imran,susah login nomor otp susah dimirim,1,Tidak Puas,2
Elona Jaskinta colektion,ok,5,Puas,1
Rizkey Dwi,payah bgt nyari alamat hrus nunjuk peta klo tmpat belm kunjungin tau dah gitu ketik muncul pdahal dah tulis alamat lengkappp sampe kode pos,1,Netral,0
Hirli Jabir Fadil,cpt driver malam jarang ngebolang saat butuh susah,5,Tidak Puas,2
Yahya Sultoni,top kaspro masuk banget dah,4,Puas,1
Febriana S. Tinamba,order titik suka geser tunggu driver titik kotor karoet mobil tanah tempel sdh tdk bersih lrn sdh lekat mobil jok patah nyandar armada parah awas,1,Tidak Puas,2
jerry Lim,nice driver,5,Puas,1
Eddie Irwan,mntep,5,Netral,0
Mikael Wolo,kecewa banget dah dgn apk maxim suda ulang ulang isi saldo maxim masuk sesuai dgn nominal potong uang ku masuk apk maxim tolong baik sistem rugi org kecewaaa,2,Tidak Puas,2
LISWIDYAWATI,lumayan,5,Netral,0
Juria Manurung,aplikasi jelek driver salah putus mitra tumpang cancel pas dpt order driver kesel cape cape tuju cancel,1,Tidak Puas,2
tyas 12,bener bener alam buruk aplikasi maxim montor sesuai standar montor jadul lewat tanjak kuat montor tsb baju rok kena oli driver naik harga tarif tuju daya mending aplikasi belah maxim bener bener buruk,1,Tidak Puas,2
RIFHA DWI YANTI PUTRI,bagus,5,Puas,1
Torpana Rajawali,layan buruk kemudi merespon maxim buruk,1,Tidak Puas,2
Boy Banjar,keren banget,5,Netral,0
Angin Laut,bagus sayang payment non tunai pake kaspro ribet jelek penuh bintang coba hubung dgn kayak ovo dana linkaja,3,Tidak Puas,2
Rizky Bintang,hujan dikit terima order gimana aneh bener,2,Tidak Puas,2
Zivania Hillary,maxim skrg susah bgt kemudi gaada satu terima korban hujan maxim nemu,1,Tidak Puas,2
Multi Kets,maximnya,1,Netral,0
Rusdi,bantu tuk kais rizky tolong baik sistem otomatis dlm goegle maps arti dr order dekat mn order tsb jarak smpai km sukses smoga depan canggih sistem otomatis sesuai prihal,5,Puas,1
John Steven,daftar driver maxim order maxim dodol,1,Netral,0
Panji Prapdayuda Setiawan,alhamdulillah aplikasi maxim,5,Netral,0
Resky,suka maxim karyawannya pungli kali order uang sesuai aplikasih kali lipat kecewa si,1,Tidak Puas,2
Slamet Prayitno,bantu,5,Netral,0
Jhon Charles,driver nama izgy yudhi susanto plat b dzc mobil innova reborn hitam tugas bandara soetta manipulasi tugas ongkos sesuai aplikasi biaya tol rb sewa bandara drivernya tipu nota tol tambah rb masuk invoice pakai maxim bandara soetta driver tugas bandara manipulatif,1,Netral,0
Yogaa Badriawann,bantu,5,Netral,0
muhammad syaiful anam,tolong akurasi datang kendara baik tunggu sesuai tulis menit menit aplikasi restart ketik alamat android tolong dompet elektronik ganti pakai kaspro rating google play jelek,3,Puas,1
Ahmad Ghufron,nggak login kode otp nggak kirim,1,Netral,0
Azzam Abdullah,map nggak update maxim khonthol skalilagi maxim khonthol update map mu bngsad bbrapa google map map maxim babi kau tdk pulang kima cukimai map hoi map nyawa map kalo customer tdk pilih titik map gimna,1,Netral,0
Ootoya Pacific,maxim mohon bantu siang driver ambil barang ootoya pacific place ootoya bsi plastik putih isi tepung isi seragam pas seragam kasi ya mohon bantu driver nama farhan saputra motorcycle warna hitam plat,1,Netral,0
Kangsenja Nathan,bagus puas,5,Puas,1
Amru 1979,ok,5,Puas,1
Rinto Hutauruk,cetak history jalan sppd,1,Netral,0
Andhika,woi kasih kek potong isi dana e wallet proses ngisinya mending pakai si gjk grb cepat ngisinya potong ribu,1,Tidak Puas,2
Alexia Akira,top wallet maxim bank sukses pas cek apk maximnya saldo rp gila download apk kaspro akun blokir dih kocak,1,Puas,1
Yulia Ningsih (2023039),bagus,5,Puas,1
Mahdanil Pratama,drivernya order nunggunya driver order tunggu sampe jam ambil order batal batalin,1,Netral,0
Christian Sinaga,bersih p,5,Netral,0
Hendi Nurjani,bantu,5,Netral,0
Davina Marsya Putri,,5,Netral,0
ahmad gufroni,daftar nunggu otp tulis batas otp habis gaguna gaguna,1,Netral,0
Mulyana Hendriansah,aman seragam hem resmi,5,Netral,0
Fenny Aulia Logho,parah nih aplikaai gue saldo masuk abang tolol gimana gausah pake maxim kapok banget,1,Tidak Puas,2
Muhamad Hairul,kecewa driver ojeg maxim,1,Tidak Puas,2
Syaichu Maulana,kode verifikasi dh make wa tlp tetep dh coba kasih kode alhasil gw alih gojek,1,Netral,0
Edi agusdin,guna,5,Netral,0
Rudi purwanto,bintang minus ndak kecewa bgt sen maxim car delivery tolak driver salah lokasi bayar double drivernya g ramah bgt,1,Tidak Puas,2
Dharma Safitri situmeang,coba coba,5,Netral,0
Jacky Duke Cervantes,jalan menit ongkos rp ribu mahal murah kayak gitu,1,Tidak Puas,2
lisha rahma,maxime drivernya suka gantung pesan jarak gerak milih grab jalan milih grab ac hidup jarak drivernya nggak mobipnya nggak gerak gantung nggak kasih pasti cari grab aplikasi,2,Netral,0
Blonde,banyak driver atribut kendara,1,Netral,0
Reyhan Sinaga,lol gg,1,Puas,1
Hamsah nasir,bagus,5,Puas,1
Alhabsi Faturohman,aplikasi gajelas login salah pake nomor hp satu login gajelas bgt baik,1,Tidak Puas,2
Cahyadi Aeon Chandra,taut akun maxim kaspro biaya,1,Netral,0
Irma Sriewaryanti,drive ramah ongkos tambah males pake,1,Netral,0
Bang zeus 01,susah nyari lokasi titik g yng akurat,2,Tidak Puas,2
Anugrah illahiyati,daftar ribet,1,Netral,0
eva eva,aplikasi bagus pake,5,Puas,1
Koh Sam Reflexcy,coba ap ojol mudah gede manfaat txq maxim,5,Netral,0
Boy,good job,5,Puas,1
Gilang Ramadan,ni aplikasi deh,5,Netral,0
Si Ti,top,5,Puas,1
Hermansyah Eman,,1,Netral,0
Sasikirana Satria,payah maxim jelek banget top susah saldo hilang dadak kartu blokir taik akun,1,Tidak Puas,2
Elisa Damayanti,dapet supir maxim car bikin trauma kapok,1,Tidak Puas,2
Amel Liya,parivikasi sik daftar salalu daftar ulang,1,Netral,0
Allin Charllin,murah riah,5,Netral,0
Ardiansyah 04,isi lambat banget kaspro lambat pas bayar pake driver blm masuk eh jam tunai ramah bintang,1,Tidak Puas,2
Wendy Melpha,aneh layan kembali bukti uang receh padahl cuman rb doang kembalin,1,Tidak Puas,2
anes 521,klian sanggup tangan order food jgn layan kmi pake grab gojek beli saran blum sanggup layan food hapus keburu asem lambung org nunggu ngak ambil klo kaya gin gmn kasih tau temen saudara sosmed maxim layan mmm ngak profesional maxim motor mobil jalan transportasi kecewa,1,Tidak Puas,2
valentino febri,aplikasi gblok otp,1,Netral,0
Godlief Tobe,susah bangat cari driver ordee terima pindah gojek biar cepat,1,Tidak Puas,2
Riston Panghiutan,,5,Netral,0
Himatul Fitriani,komplain tangan moga tindak drivernya biar tindak professional langgan,4,Netral,0
Syifa Zahra rahma Syifa,layan nyaa bagus ramah,5,Puas,1
Khalid Said,destinasi salah peta pindah destinasi harap baik masak kalah apk hijau,1,Netral,0
Rafi Ansyah,bantu,5,Netral,0
M. Rakijan Firdaus,bagus,5,Puas,1
Dani Hardiansyah,aplikasi sampah aplikasi kerjasamanya sampah ngajak tawar kerja buka cabang tuju lokasi pilih info ngapain masuk lokasi tawar lu sengaja ngasih lokasi sampah untung,1,Tidak Puas,2
Annisa Maharani,ewallet isi mbanking hasil tpi apk ubah tolong baik,3,Puas,1
Farha Hamzah,ojek maxim terima order aplikasi ngebug salah jaring aman,1,Tidak Puas,2
Hasbi muhammad Muhammad,maaf suka like sengaja percaya,5,Puas,1
Hendro Mori,saat harga mahal cepat datang harga murah banget nungguin,1,Tidak Puas,2
Anime fun fun,beli makan non tunai top tarik saldony,2,Puas,1
Danil danil,masuk order jam nunggu coba,1,Netral,0
Erwin smile,ok,5,Puas,1
Irwan Dini,bantu,5,Netral,0
Dewi Sartika,peta familiar susah pakai klo cari alamat overal tarif murah ojol,5,Tidak Puas,2
Atien Sie,,5,Netral,0
Lia Emon,kaspro sdh ganti bayar sia sia masukin uang kaspro,2,Netral,0
Haryo Sastronegoro,okay,5,Puas,1
Penyelamat War,parah delivery maxim ojek bawa lari pesan laporin nyesal pakai maxim aman,1,Tidak Puas,2
wayangmlmantigalau wayangmlmantigalau123,ok bgs,5,Puas,1
Herry CMN#27,masya allah,5,Netral,0
Amalia Sarah,sayang bulan pakai maxim supirnya kecewa supir ngak ramah bawa motor ngak enak kasih rating lambat tolong donk manajemen driver motor kasih edukasi,2,Tidak Puas,2
lisa dumbi,driver belagu driver gorontalo gmending pakai grab,1,Netral,0
Ulil ilmi,login susah kirim kode nggk batas login limit darurat,1,Tidak Puas,2
hengki menandri,pilih untul error muluu,3,Tidak Puas,2
Herman Sugiyanto,muas,5,Netral,0
Sakinah,midi skali smpai jam bru hujan,2,Netral,0
Eko Prasettiyo,isi super lamaaaa,2,Puas,1
Syadeli,sangt,5,Netral,0
Uun Dian Aprillia 04,driver kasar customer paham kondisi jalan maki customer customer ngga tau kondisi jalan lewat macet saran pilih drivernya dn sistem bayar maxim wallet tingkat,1,Netral,0
Firman manno,tolong tindak driver mobil suruh tunggu tunggu nge batalin jelek banget kualitas maxim mobil,1,Tidak Puas,2
Glory Caroline,bagus batal order customer bingung bintang,1,Puas,1
nafila firda,lamaaa poullll nunggu order diambill,1,Netral,0
Wawan Kurniawan,bagus patok lokasi,5,Puas,1
ZZ pane,kecewa sya jasa delivery brang sma kurir serta ongkir dibawar tpi order hilang brang antar kembali jjur ikhlas krena nominal sbgai jual brang nyampe kostumer dn pengaruh toko tolong respon feedback sya riwayat order sya dichek ulang,2,Tidak Puas,2
Agustinus Widiatmoko,riwayat order,3,Netral,0
Doni acuy official,niat narik ni driver mobil susah bener sen,4,Tidak Puas,2
Dita Julianti,driver alas mnta cancel pdhl tauji baca maps ji orang tau baca,1,Tidak Puas,2
Mputt Cemongg,aneh order driver car gapernah terima driver padahl bayar numpang,3,Tidak Puas,2
Arifin Sul,tumpang mes delivery aplikasi pelit kikir mesan mobil delivery tarif aplikasi murah riah ambil order dgn tarif jarak tolol minimal elu pasang kek km,5,Tidak Puas,2
Badrudin Uday,akun maxim saldo tau knp akun login mohon buka akun saldo akun,1,Netral,0
Delima Sari,maxim wallet isi driver pake maxim wallet saldo tarik fitur,2,Netral,0
Rafli Akbar,ongkir maxinfood kau mahal kali bah,1,Tidak Puas,2
Marsel 123,tolong perbaikin lg nyari almat ngga ketemu trs map ny ngga,1,Tidak Puas,2
Elsa Ratnasari Panggabean,bayar non tunai driver mintak cencel karna pembayarnnya terima wallet kaspro cipta bayar non tunai driver pakai tolak ribet orang suka pegang cash jdi pakai non tunai guna isi tuh wallet kaspro tpi driver mntak ganti bayar cash mintak batalin karna bayar pakai wallet kaspro kecewa,2,Tidak Puas,2
Adi Santoso,moga lancar jaya,5,Netral,0
Irwan Hermawan,tolong maps baik,5,Puas,1
ahmad qurthubi,amazing,5,Puas,1
Nur Nanda,kemudi suka naik tarif fitur cepat tarif beda,1,Netral,0
elis Puput,aplikasi tipu masukin saldo kaga saldo kasproo,1,Netral,0
Agus Harianto,sesuai tera aplikasi harga mobil naik,1,Netral,0
Salma Naura,klu sen makan menit driver ngambil tolong banget cancel aplikasi menit gaada ngambil order gw dibatalin apk jelek mending gojek,1,Tidak Puas,2
Bougenville Music,tuju ubah rider maxim kena rider maxim tombol coba hapus cepat,1,Netral,0
Celek Celekk,klo pake mobil knp bgt susah gambar mobil map banget order pake mobil itu blm tolong fersi bner krj telat trus,4,Tidak Puas,2
Azahra Delta2,oke,5,Netral,0
Irwansyah Putra,layan buruk mudah emosi driver,1,Tidak Puas,2
Randu Arya Sandar,susah cari driver car ampunnn deehh,4,Tidak Puas,2
Aprillia Millano,adain fitur bayar aplikasi dana mudah kalo pake gopay ktp ngebantu banget uang jajannnya dana,5,Netral,0
Khoirul Anam,maksin tolong bakar sulit,1,Tidak Puas,2
DWI OKTA FIANA,driver jalan tugas teliti kalo dicancel marah pakai atribut kasar kpd langgan,1,Netral,0
mantan matre,mantap,5,Puas,1
Maaee AL Hikmah (Maaee),isi saldo iwallet maxim niat byr langsung aplikasi pas top saldo msuk maxim maxim,1,Puas,1
Nana Suhana,ok,5,Puas,1
Rully Irawan,murah kadang driver suka lokasi ngejemput update lokasi map driver benerin error,3,Tidak Puas,2
Bekuti Garfu,bagus elegan,5,Puas,1
Andini Isneni Rahayu,tolong ngabisin aplikasi tulis menit driver ngabisin dr menit tulis driver posisi titik jemput driver alas tarif aplikasi beda,3,Tidak Puas,2
radit saguna,tolong evaluasi depan customer wajib isi nama mudah driver cari langgan,5,Tidak Puas,2
asnadi jarot,moga manfaat,4,Netral,0
Endy,apasih login ngirim kode nerima kode apapu,1,Netral,0
Ceny Chen,mohon maxim tolong kasih real time jemput aplikasi menit kadang menit kayak kendala banyak cancelin order,1,Tidak Puas,2
Febrian Almathur,jelek banget map kaya aplikasi harga emang murah map tolong baik nilai,2,Tidak Puas,2
Myaa Mia,driver aneh sopan dpt driver dh ngebentak suruh bayar cash emng byr cash dpt driver diarahin jalur cepat mlh ttik antr lbh beda bberpa meter negur sopan otw hapus apk dn kapok pakai apk lg biarpun murah,3,Tidak Puas,2
Dominggus yulius Domi,taksi ni order susah banget manding grep biar jahu manding,5,Tidak Puas,2
Irwan bebycrap,aplikasi maxwin mantap,5,Puas,1
Murdiono Agus Riyanto,oke,5,Netral,0
KP-HARUN,ok,5,Puas,1
Naira Kamelia,nyari makan susah driver,2,Tidak Puas,2
Muhammad Maksun,ramah mantap,5,Puas,1
Ilham Yunus,knp dp driver pang bpli e wk pbnya b mxim tpi nda ad btrima,2,Netral,0
Alam Guntara,maxim driver salah jalan ngotot tolomg tindak,1,Tidak Puas,2
Erik,baikin kaspro lu gue buru buru megang cash kudu nunggu jam gila ya,1,Netral,0
andi Bengkalis,delivery,1,Netral,0
Andi Aldino Aslam,mantap,5,Puas,1
Tenzo 3,apk maxim driver ramah daj respon cepat sayang kadang aplikasi suka buk,5,Tidak Puas,2
Ciaa,apk bagus tpi drivernya g bgus krna g bantuin angkat barang cmn nungguin pintu tolong,1,Puas,1
Rizqu Nia,oky,5,Netral,0
Petrisia Roito Sagala,apansih update trs baik dlu bnr jgn update trs,3,Puas,1
Jaleswari Selendang,aplikasi delivery tolong tambah nama kirim terima nomor telepon drivernya mohon latih sesuai titik drama problematik,2,Tidak Puas,2
Cemon Ganteng,bagus,5,Puas,1
Anggala,kali driver sesuai antar tuju bablas tuju,1,Netral,0
Ramadhani,kali kesel pake maxim bulan susah cari drivernya jam bolak pesan naikin tarif juda pokok bintang maxim,1,Tidak Puas,2
Kartian Kulua,bagua,5,Netral,0
Bang Acuan,baik harga jangkau kemudi ramah mobil hehehe,5,Puas,1
syahrul tanjung,login eror eror mulu,1,Netral,0
Jandri Pasaribu,cs lot slow respon top saldo masuk harga pesan ubah maps ngawur,1,Puas,1
Nazar udin,maxim order makan food kali gagal yaaa,4,Tidak Puas,2
Dian Mayang sari,aplikasi bobrok palembang kaya rem suka mintak uang pake aplikasi cht aplikasi maxim lapor sopir gocar balesan lucu nge gocar bawak cewek hahaha aplikasi aneh,1,Puas,1
Marini Rini,murah,5,Netral,0
Tile Tine,saldo kaspro ribu masuk masuk nunggu,1,Netral,0
Sa Nz,kasih riwayat saldo pake ilang gitu iya riwayat nampilin pas isi doang gada costner servis segi aplikasi mah bagus kalo pas tuh ambi adm adm,4,Puas,1
Qeyla Herdiana,apo downlowd kesel deh,1,Netral,0
Andi Muliyadi,mantap,5,Puas,1
Jamal ji Jamal,mantap,5,Puas,1
amnd,apk rusak ya sen makan pagi siang driver sana ramai ojol capek nunggu cancel gilir makan pesan hasil cancel apk maxim hapus driver maxim bawain makan pesan pagi suruh bayar makan cancel kasihan bayar tunjukin kalo pesan cancel siang layan apk rusak gajelas inti,1,Tidak Puas,2
Diki Diki,apilkasi kelen pesan harga rb tuju harga bah rb jadi serjng kali kek gin kelen konsisten harga jelek,2,Tidak Puas,2
Yanuar Pribadi,pake maxim ganti logout login aneh kartu sim jg nomernya,1,Tidak Puas,2
Susi Laswati Sihite,unit mobil mtornya beda sm grab usaha mobil motor muda recommended,1,Puas,1
Apri Handayani,knp ya ngetik sesuai alamat tpi titik sesuai capek bgt diomelin driver nyasar,4,Tidak Puas,2
Assyfa Noureen,bukak aplikasi apa kek gin,2,Netral,0
Joe Reza Andika,tarif deliverynya murah ngakalin driver suruh belanja pakai layan delivery,5,Netral,0
Rayyan,layan jakauan maxim puas,5,Puas,1
apri darmita,kali pesan maxime liat maps nyata ny tempat benar ragu maxime terkadang butuh maxime,3,Netral,0
riska apriani,mohon baik e walletnya driver pakai e wallet e wallet pakai tarik tunai gojek mudah costumer driver,3,Puas,1
Yohanes Mardian,bagus,5,Puas,1
Abu. Sawi (Abu),bagus,5,Puas,1
Hans Erlangga,parah akurasi titik sharelock bsa dr titik lokasi jemput klo peka bsa anggap bsa mmbahayakan tumpang,1,Tidak Puas,2
edy klasmin,guna maxim kecewa driver tambah ongkos orang order suruh l orang ongkos bengkak aplikasi tolong kasih tegur ambil order tuju jam dikit,3,Puas,1
dian to,good,5,Puas,1
Kristian Toro,puas,5,Puas,1
Fajar Agustyan,apknya suka error suruh login ulang masukin nomor suruh coba,1,Tidak Puas,2
Selvy Popi,ok good,5,Puas,1
Sultan Alif Saputra,aplikasi aneh verifikasi ribet,1,Tidak Puas,2
Hermawan Boy,top dana parah,1,Puas,1
Pki Rana,mantap,5,Puas,1
YukiSelva Febrita,maxim ada bayar kaspro jalan pesan makan laku pakai kaspro isi saldo gantung gara gara pakai,1,Netral,0
ledowlee,isi saldo maxim wallet delay gitu saldo isi potong biaya admin,1,Tidak Puas,2
mikah namkul,apk muter muter alamat sesuai ktp maps order nunggu samapi,1,Netral,0
fauzan hanif ahsan,ai apo dio delivery barang ongkir,1,Netral,0
Aldi Nugraha,verifikasi pesan masuk grab ribet,1,Netral,0
Eva Alatas,tlg yaa maxim perhati kondisi kendara driver motor kl motor sdh tdk layak pake jng pake narik jg bersih tlg perhati anjirrr bau bangettt,1,Netral,0
Rifqi Sauri,eror,4,Netral,0
Driver Bali,driver main naik harga,1,Netral,0
Virly Nugroho,ganti titik jemput,3,Netral,0
SUHENDRA HENDRA,mantab,5,Netral,0
asep saepudin,aplikasi bagus ongkos murah,5,Puas,1
Alex Qosdu Sabil,order driver kecewa ngak driver tolong tu drivernya benerin dlu iya uang kembali transfer sampe tanda uang kembali smog driver maxim amanah,1,Tidak Puas,2
Yoseph Runtu,gimana nih nyari driver pake maxim banget maxim,1,Netral,0
Wonderful Lumajang,driver jarang masak ngetik lokasi b drivernya jemput b,1,Netral,0
Joana Hidayat,ongkos sekrang mahal,1,Tidak Puas,2
Sukasuka Kanal,kasprony ditilep muat mulu delay gda history sisa anjir ya korup,3,Tidak Puas,2
Lilik Andi,drever cepat ramah harga jangkau,5,Netral,0
Noola Jr7,kasih orang ok maxim orang,5,Puas,1
Rasta 123,daftar sulit tolol,1,Tidak Puas,2
Bella 1807,susah driver oknum driver motor biaya tambah,3,Tidak Puas,2
Nikmatul Husna,lamaaaaaa,1,Netral,0
Zahra2024 Zahra,enak driver pakai mod bebas nian,1,Netral,0
ajay aceh,bintang dlu liat kerja cocok kasih bintang tujuh,1,Netral,0
Alan Sumitra,,5,Netral,0
Infinix Ikaeluna,lelet loading,4,Tidak Puas,2
Billy David,riwayat jalan hilang aplikasi bapuk e,1,Tidak Puas,2
nau lia,nipu ih saldo pas isi kaspor masuk,1,Netral,0
Epin Gaming2,aplikasi jelek bgt tunggu mud cepat,1,Tidak Puas,2
abd salam,perfect,5,Puas,1
Heri Kiswanto,hemat,5,Netral,0
Nabil Aldhefa,spam iklan suka gw,1,Tidak Puas,2
Alfridho Nesi,bantu,5,Netral,0
Herman,tolong resto tutup tampil banyak resto tutup pesan ready makan,4,Puas,1
Ahmad Gunawan (Agan),mantaaap,5,Netral,0
Bayu Murti,admin jogja kerja pakai sop ngasih langgar bukti pemberitahuan lapor dinas ketenagakerjaan,1,Netral,0
Entis Sutisna,mantap,5,Puas,1
Ali Sodikin,nice,5,Puas,1
natania kristin harefa,buruk maps baca eror,1,Tidak Puas,2
Minda Lyla,trmksih bantu motor kala motor haaa,5,Netral,0
Sri Wahyuni,bagus murah banget suka,5,Puas,1
Chandra Samosir,sampah ajg apk jelek najis login akun gua saldo benerin tuh aplikasi sampah najis,1,Tidak Puas,2
The Sam,bantu,5,Netral,0
Linda RamaDiansari,isi kaspro saldo potong masuk saldo kaspro,1,Tidak Puas,2
zakiya Naila,oknum ngajar berhentiin orang bilang jalan pertanggungjawaban uang engga tahan wkwkwkw parahh,1,Netral,0
William Simbolon,maaf aplikasi layan buruk pakai,1,Tidak Puas,2
niel osmen,maxim login,5,Netral,0
Donni Indarto,oke,5,Netral,0
Tri Salsabila Putri,lokasi update sesuai google maps banget mapsnya,2,Netral,0
Pin Kyy,aplikasi dicancel driver dtg maksa dibayarin pakai acara,1,Netral,0
krishna roy yudhistira,order maxim delivery barang ko nyampe ya order selesai mohon tindak cepat karna konsumen,1,Netral,0
Tomy Bim,ok,5,Puas,1
Petrus Djiling1613,,5,Netral,0
Wagiyanto Wr,aplikasi baik lokasi maps nomor telepon driver sulit hubung sukses maxim,4,Tidak Puas,2
Rasya Azis,login,1,Netral,0
Andi Maan,,2,Netral,0
bayupangestu Pangestu,jaring buruk,5,Tidak Puas,2
Dyah Woro,bandara lelet,1,Tidak Puas,2
Tarai Bangun,ok,5,Puas,1
Fella 0411,suka bngt apknya murah biaya kadang dapet driver g ngenakin,4,Tidak Puas,2
Doni Parizal,jalan tanjung jaya tanjung agung kota bengkulu lewat pagi bos pakai motor mutar jalan unib,1,Netral,0
SYtech,maxim tolong tertib driver beraktifitas sesuai sop pakai celana pendek seragam kusam kayak kain lap dapur seragam go ek hem maxim driver bau rokok rokok bawa cs driver nakal order batal jadi offline motor butut aplikasi parah driver maka aplikasi resmi moga baca respond trimakasih,5,Tidak Puas,2
Rio Rafelik Purba,pilih kaspro bayar otomatis alih bayar tunai saldo kaspro potong,1,Tidak Puas,2
Witoyo Prandon,tolong mudah jemput aplikasi lokasi langsung titik jemput driver telpon telpon,4,Tidak Puas,2
Galaxy Bima,verifikasi muncul muncul,1,Netral,0
Sandy Setiawan,cepat selamat,4,Netral,0
Ahmad Ma'ruf DC,,5,Netral,0
Judith Veronica Safirra,senang,5,Netral,0
Pengguna Google,iya,5,Netral,0
Shiro ind,kecewa maxim promosi palsu kemarin kerja datang sales maxim suruh download aplikasi masuk kode promo mbak sales bilang saldo pesan ojek online coba dana promo pakai alih tunai laris aplikasi jangn nipu customer pergi,1,Puas,1
Lucky Sa,oke,5,Netral,0
Mariana Abas,eror,5,Netral,0
Vantera 25,apa nih aplikasi nunggu driver sampe menit anjay kaya belah,3,Netral,0
