userName,content,score,sentimen,sentimen_encoded,content_cleaned
Ceny Chen,mohon maxim tolong kasih real time jemput aplikasi menit kadang menit kayak kendala banyak cancelin order,1,Tidak Puas,2,mohon maxim tolong kasih real time jemput aplikasi menit kadang menit kayak kendala banyak cancelin order
Febrian Almathur,jelek banget map kaya aplikasi harga emang murah map tolong baik nilai,2,Tidak Puas,2,jelek banget map kaya aplikasi harga emang murah map tolong baik nilai
Myaa Mia,driver aneh sopan dpt driver dh ngebentak suruh bayar cash emng byr cash dpt driver diarahin jalur cepat mlh ttik antr lbh beda bberpa meter negur sopan otw hapus apk dn kapok pakai apk lg biarpun murah,3,Netral,0,driver aneh sopan dpt driver dh ngebentak suruh bayar cash emng byr cash dpt driver diarahin jalur cepat mlh ttik antr lbh beda bberpa meter negur sopan otw hapus apk dn kapok pakai apk lg biarpun murah
Dominggus yulius Domi,taksi ni order susah banget manding grep biar jahu manding,5,Puas,1,taksi ni order susah banget manding grep biar jahu manding
Irwan bebycrap,aplikasi maxwin mantap,5,Puas,1,aplikasi maxwin mantap
Murdiono Agus Riyanto,oke,5,Puas,1,oke
KP-HARUN,ok,5,Puas,1,ok
Naira Kamelia,nyari makan susah driver,2,Tidak Puas,2,nyari makan susah driver
Muhammad Maksun,ramah mantap,5,Puas,1,ramah mantap
Ilham Yunus,knp dp driver pang bpli e wk pbnya b mxim tpi nda ad btrima,2,Tidak Puas,2,knp dp driver pang bpli e wk pbnya b mxim tpi nda ad btrima
Alam Guntara,maxim driver salah jalan ngotot tolomg tindak,1,Tidak Puas,2,maxim driver salah jalan ngotot tolomg tindak
Erik,baikin kaspro lu gue buru buru megang cash kudu nunggu jam gila ya,1,Tidak Puas,2,baikin kaspro lu gue buru buru megang cash kudu nunggu jam gila ya
andi Bengkalis,delivery,1,Tidak Puas,2,delivery
Andi Aldino Aslam,mantap,5,Puas,1,mantap
Tenzo 3,apk maxim driver ramah daj respon cepat sayang kadang aplikasi suka buk,5,Puas,1,apk maxim driver ramah daj respon cepat sayang kadang aplikasi suka buk
Ciaa,apk bagus tpi drivernya g bgus krna g bantuin angkat barang cmn nungguin pintu tolong,1,Tidak Puas,2,apk bagus tpi drivernya g bgus krna g bantuin angkat barang cmn nungguin pintu tolong
Rizqu Nia,oky,5,Puas,1,oky
Petrisia Roito Sagala,apansih update trs baik dlu bnr jgn update trs,3,Netral,0,apansih update trs baik dlu bnr jgn update trs
Jaleswari Selendang,aplikasi delivery tolong tambah nama kirim terima nomor telepon drivernya mohon latih sesuai titik drama problematik,2,Tidak Puas,2,aplikasi delivery tolong tambah nama kirim terima nomor telepon drivernya mohon latih sesuai titik drama problematik
Cemon Ganteng,bagus,5,Puas,1,bagus
Anggala,kali driver sesuai antar tuju bablas tuju,1,Tidak Puas,2,kali driver sesuai antar tuju bablas tuju
Ramadhani,kali kesel pake maxim bulan susah cari drivernya jam bolak pesan naikin tarif juda pokok bintang maxim,1,Tidak Puas,2,kali kesel pake maxim bulan susah cari drivernya jam bolak pesan naikin tarif juda pokok bintang maxim
Kartian Kulua,bagua,5,Puas,1,bagua
Bang Acuan,baik harga jangkau kemudi ramah mobil hehehe,5,Puas,1,baik harga jangkau kemudi ramah mobil hehehe
syahrul tanjung,login eror eror mulu,1,Tidak Puas,2,login eror eror mulu
Jandri Pasaribu,cs lot slow respon top saldo masuk harga pesan ubah maps ngawur,1,Tidak Puas,2,cs lot slow respon top saldo masuk harga pesan ubah maps ngawur
Nazar udin,maxim order makan food kali gagal yaaa,4,Puas,1,maxim order makan food kali gagal yaaa
Dian Mayang sari,aplikasi bobrok palembang kaya rem suka mintak uang pake aplikasi cht aplikasi maxim lapor sopir gocar balesan lucu nge gocar bawak cewek hahaha aplikasi aneh,1,Tidak Puas,2,aplikasi bobrok palembang kaya rem suka mintak uang pake aplikasi cht aplikasi maxim lapor sopir gocar balesan lucu nge gocar bawak cewek hahaha aplikasi aneh
Marini Rini,murah,5,Puas,1,murah
Tile Tine,saldo kaspro ribu masuk masuk nunggu,1,Tidak Puas,2,saldo kaspro ribu masuk masuk nunggu
Sa Nz,kasih riwayat saldo pake ilang gitu iya riwayat nampilin pas isi doang gada costner servis segi aplikasi mah bagus kalo pas tuh ambi adm adm,4,Puas,1,kasih riwayat saldo pake ilang gitu iya riwayat nampilin pas isi doang gada costner servis segi aplikasi mah bagus kalo pas tuh ambi adm adm
Qeyla Herdiana,apo downlowd kesel deh,1,Tidak Puas,2,apo downlowd kesel deh
Andi Muliyadi,mantap,5,Puas,1,mantap
Jamal ji Jamal,mantap,5,Puas,1,mantap
amnd,apk rusak ya sen makan pagi siang driver sana ramai ojol capek nunggu cancel gilir makan pesan hasil cancel apk maxim hapus driver maxim bawain makan pesan pagi suruh bayar makan cancel kasihan bayar tunjukin kalo pesan cancel siang layan apk rusak gajelas inti,1,Tidak Puas,2,apk rusak ya sen makan pagi siang driver sana ramai ojol capek nunggu cancel gilir makan pesan hasil cancel apk maxim hapus driver maxim bawain makan pesan pagi suruh bayar makan cancel kasihan bayar tunjukin kalo pesan cancel siang layan apk rusak gajelas inti
Diki Diki,apilkasi kelen pesan harga rb tuju harga bah rb jadi serjng kali kek gin kelen konsisten harga jelek,2,Tidak Puas,2,apilkasi kelen pesan harga rb tuju harga bah rb jadi serjng kali kek gin kelen konsisten harga jelek
Yanuar Pribadi,pake maxim ganti logout login aneh kartu sim jg nomernya,1,Tidak Puas,2,pake maxim ganti logout login aneh kartu sim jg nomernya
Susi Laswati Sihite,unit mobil mtornya beda sm grab usaha mobil motor muda recommended,1,Tidak Puas,2,unit mobil mtornya beda sm grab usaha mobil motor muda recommended
Apri Handayani,knp ya ngetik sesuai alamat tpi titik sesuai capek bgt diomelin driver nyasar,4,Puas,1,knp ya ngetik sesuai alamat tpi titik sesuai capek bgt diomelin driver nyasar
Assyfa Noureen,bukak aplikasi apa kek gin,2,Tidak Puas,2,bukak aplikasi apa kek gin
Joe Reza Andika,tarif deliverynya murah ngakalin driver suruh belanja pakai layan delivery,5,Puas,1,tarif deliverynya murah ngakalin driver suruh belanja pakai layan delivery
Rayyan,layan jakauan maxim puas,5,Puas,1,layan jakauan maxim puas
apri darmita,kali pesan maxime liat maps nyata ny tempat benar ragu maxime terkadang butuh maxime,3,Netral,0,kali pesan maxime liat maps nyata ny tempat benar ragu maxime terkadang butuh maxime
riska apriani,mohon baik e walletnya driver pakai e wallet e wallet pakai tarik tunai gojek mudah costumer driver,3,Netral,0,mohon baik e walletnya driver pakai e wallet e wallet pakai tarik tunai gojek mudah costumer driver
Yohanes Mardian,bagus,5,Puas,1,bagus
Abu. Sawi (Abu),bagus,5,Puas,1,bagus
Hans Erlangga,parah akurasi titik sharelock bsa dr titik lokasi jemput klo peka bsa anggap bsa mmbahayakan tumpang,1,Tidak Puas,2,parah akurasi titik sharelock bsa dr titik lokasi jemput klo peka bsa anggap bsa mmbahayakan tumpang
edy klasmin,guna maxim kecewa driver tambah ongkos orang order suruh l orang ongkos bengkak aplikasi tolong kasih tegur ambil order tuju jam dikit,3,Netral,0,guna maxim kecewa driver tambah ongkos orang order suruh l orang ongkos bengkak aplikasi tolong kasih tegur ambil order tuju jam dikit
dian to,good,5,Puas,1,good
Kristian Toro,puas,5,Puas,1,puas
Fajar Agustyan,apknya suka error suruh login ulang masukin nomor suruh coba,1,Tidak Puas,2,apknya suka error suruh login ulang masukin nomor suruh coba
Selvy Popi,ok good,5,Puas,1,ok good
Sultan Alif Saputra,aplikasi aneh verifikasi ribet,1,Tidak Puas,2,aplikasi aneh verifikasi ribet
Hermawan Boy,top dana parah,1,Tidak Puas,2,top dana parah
Pki Rana,mantap,5,Puas,1,mantap
YukiSelva Febrita,maxim ada bayar kaspro jalan pesan makan laku pakai kaspro isi saldo gantung gara gara pakai,1,Tidak Puas,2,maxim ada bayar kaspro jalan pesan makan laku pakai kaspro isi saldo gantung gara gara pakai
ledowlee,isi saldo maxim wallet delay gitu saldo isi potong biaya admin,1,Tidak Puas,2,isi saldo maxim wallet delay gitu saldo isi potong biaya admin
mikah namkul,apk muter muter alamat sesuai ktp maps order nunggu samapi,1,Tidak Puas,2,apk muter muter alamat sesuai ktp maps order nunggu samapi
fauzan hanif ahsan,ai apo dio delivery barang ongkir,1,Tidak Puas,2,ai apo dio delivery barang ongkir
Aldi Nugraha,verifikasi pesan masuk grab ribet,1,Tidak Puas,2,verifikasi pesan masuk grab ribet
Eva Alatas,tlg yaa maxim perhati kondisi kendara driver motor kl motor sdh tdk layak pake jng pake narik jg bersih tlg perhati anjirrr bau bangettt,1,Tidak Puas,2,tlg yaa maxim perhati kondisi kendara driver motor kl motor sdh tdk layak pake jng pake narik jg bersih tlg perhati anjirrr bau bangettt
Rifqi Sauri,eror,4,Puas,1,eror
Driver Bali,driver main naik harga,1,Tidak Puas,2,driver main naik harga
Virly Nugroho,ganti titik jemput,3,Netral,0,ganti titik jemput
SUHENDRA HENDRA,mantab,5,Puas,1,mantab
asep saepudin,aplikasi bagus ongkos murah,5,Puas,1,aplikasi bagus ongkos murah
Alex Qosdu Sabil,order driver kecewa ngak driver tolong tu drivernya benerin dlu iya uang kembali transfer sampe tanda uang kembali smog driver maxim amanah,1,Tidak Puas,2,order driver kecewa ngak driver tolong tu drivernya benerin dlu iya uang kembali transfer sampe tanda uang kembali smog driver maxim amanah
Yoseph Runtu,gimana nih nyari driver pake maxim banget maxim,1,Tidak Puas,2,gimana nih nyari driver pake maxim banget maxim
Wonderful Lumajang,driver jarang masak ngetik lokasi b drivernya jemput b,1,Tidak Puas,2,driver jarang masak ngetik lokasi b drivernya jemput b
Joana Hidayat,ongkos sekrang mahal,1,Tidak Puas,2,ongkos sekrang mahal
Sukasuka Kanal,kasprony ditilep muat mulu delay gda history sisa anjir ya korup,3,Netral,0,kasprony ditilep muat mulu delay gda history sisa anjir ya korup
Lilik Andi,drever cepat ramah harga jangkau,5,Puas,1,drever cepat ramah harga jangkau
Noola Jr7,kasih orang ok maxim orang,5,Puas,1,kasih orang ok maxim orang
Rasta 123,daftar sulit tolol,1,Tidak Puas,2,daftar sulit tolol
Bella 1807,susah driver oknum driver motor biaya tambah,3,Netral,0,susah driver oknum driver motor biaya tambah
Nikmatul Husna,lamaaaaaa,1,Tidak Puas,2,lamaaaaaa
Zahra2024 Zahra,enak driver pakai mod bebas nian,1,Tidak Puas,2,enak driver pakai mod bebas nian
ajay aceh,bintang dlu liat kerja cocok kasih bintang tujuh,1,Tidak Puas,2,bintang dlu liat kerja cocok kasih bintang tujuh
Alan Sumitra,,5,Puas,1,
Infinix Ikaeluna,lelet loading,4,Puas,1,lelet loading
Billy David,riwayat jalan hilang aplikasi bapuk e,1,Tidak Puas,2,riwayat jalan hilang aplikasi bapuk e
nau lia,nipu ih saldo pas isi kaspor masuk,1,Tidak Puas,2,nipu ih saldo pas isi kaspor masuk
Epin Gaming2,aplikasi jelek bgt tunggu mud cepat,1,Tidak Puas,2,aplikasi jelek bgt tunggu mud cepat
abd salam,perfect,5,Puas,1,perfect
Heri Kiswanto,hemat,5,Puas,1,hemat
Nabil Aldhefa,spam iklan suka gw,1,Tidak Puas,2,spam iklan suka gw
Alfridho Nesi,bantu,5,Puas,1,bantu
Herman,tolong resto tutup tampil banyak resto tutup pesan ready makan,4,Puas,1,tolong resto tutup tampil banyak resto tutup pesan ready makan
Ahmad Gunawan (Agan),mantaaap,5,Puas,1,mantaaap
Bayu Murti,admin jogja kerja pakai sop ngasih langgar bukti pemberitahuan lapor dinas ketenagakerjaan,1,Tidak Puas,2,admin jogja kerja pakai sop ngasih langgar bukti pemberitahuan lapor dinas ketenagakerjaan
Entis Sutisna,mantap,5,Puas,1,mantap
Ali Sodikin,nice,5,Puas,1,nice
natania kristin harefa,buruk maps baca eror,1,Tidak Puas,2,buruk maps baca eror
Minda Lyla,trmksih bantu motor kala motor haaa,5,Puas,1,trmksih bantu motor kala motor haaa
Sri Wahyuni,bagus murah banget suka,5,Puas,1,bagus murah banget suka
Chandra Samosir,sampah ajg apk jelek najis login akun gua saldo benerin tuh aplikasi sampah najis,1,Tidak Puas,2,sampah ajg apk jelek najis login akun gua saldo benerin tuh aplikasi sampah najis
The Sam,bantu,5,Puas,1,bantu
Linda RamaDiansari,isi kaspro saldo potong masuk saldo kaspro,1,Tidak Puas,2,isi kaspro saldo potong masuk saldo kaspro
zakiya Naila,oknum ngajar berhentiin orang bilang jalan pertanggungjawaban uang engga tahan wkwkwkw parahh,1,Tidak Puas,2,oknum ngajar berhentiin orang bilang jalan pertanggungjawaban uang engga tahan wkwkwkw parahh
William Simbolon,maaf aplikasi layan buruk pakai,1,Tidak Puas,2,maaf aplikasi layan buruk pakai
niel osmen,maxim login,5,Puas,1,maxim login
Donni Indarto,oke,5,Puas,1,oke
Tri Salsabila Putri,lokasi update sesuai google maps banget mapsnya,2,Tidak Puas,2,lokasi update sesuai google maps banget mapsnya
Pin Kyy,aplikasi dicancel driver dtg maksa dibayarin pakai acara,1,Tidak Puas,2,aplikasi dicancel driver dtg maksa dibayarin pakai acara
krishna roy yudhistira,order maxim delivery barang ko nyampe ya order selesai mohon tindak cepat karna konsumen,1,Tidak Puas,2,order maxim delivery barang ko nyampe ya order selesai mohon tindak cepat karna konsumen
Tomy Bim,ok,5,Puas,1,ok
Petrus Djiling1613,,5,Puas,1,
Wagiyanto Wr,aplikasi baik lokasi maps nomor telepon driver sulit hubung sukses maxim,4,Puas,1,aplikasi baik lokasi maps nomor telepon driver sulit hubung sukses maxim
Rasya Azis,login,1,Tidak Puas,2,login
Andi Maan,,2,Tidak Puas,2,
bayupangestu Pangestu,jaring buruk,5,Puas,1,jaring buruk
Dyah Woro,bandara lelet,1,Tidak Puas,2,bandara lelet
Tarai Bangun,ok,5,Puas,1,ok
Fella 0411,suka bngt apknya murah biaya kadang dapet driver g ngenakin,4,Puas,1,suka bngt apknya murah biaya kadang dapet driver g ngenakin
Doni Parizal,jalan tanjung jaya tanjung agung kota bengkulu lewat pagi bos pakai motor mutar jalan unib,1,Tidak Puas,2,jalan tanjung jaya tanjung agung kota bengkulu lewat pagi bos pakai motor mutar jalan unib
SYtech,maxim tolong tertib driver beraktifitas sesuai sop pakai celana pendek seragam kusam kayak kain lap dapur seragam go ek hem maxim driver bau rokok rokok bawa cs driver nakal order batal jadi offline motor butut aplikasi parah driver maka aplikasi resmi moga baca respond trimakasih,5,Puas,1,maxim tolong tertib driver beraktifitas sesuai sop pakai celana pendek seragam kusam kayak kain lap dapur seragam go ek hem maxim driver bau rokok rokok bawa cs driver nakal order batal jadi offline motor butut aplikasi parah driver maka aplikasi resmi moga baca respond trimakasih
Rio Rafelik Purba,pilih kaspro bayar otomatis alih bayar tunai saldo kaspro potong,1,Tidak Puas,2,pilih kaspro bayar otomatis alih bayar tunai saldo kaspro potong
Witoyo Prandon,tolong mudah jemput aplikasi lokasi langsung titik jemput driver telpon telpon,4,Puas,1,tolong mudah jemput aplikasi lokasi langsung titik jemput driver telpon telpon
Galaxy Bima,verifikasi muncul muncul,1,Tidak Puas,2,verifikasi muncul muncul
Sandy Setiawan,cepat selamat,4,Puas,1,cepat selamat
Ahmad Ma'ruf DC,,5,Puas,1,
Judith Veronica Safirra,senang,5,Puas,1,senang
Pengguna Google,iya,5,Puas,1,iya
Shiro ind,kecewa maxim promosi palsu kemarin kerja datang sales maxim suruh download aplikasi masuk kode promo mbak sales bilang saldo pesan ojek online coba dana promo pakai alih tunai laris aplikasi jangn nipu customer pergi,1,Tidak Puas,2,kecewa maxim promosi palsu kemarin kerja datang sales maxim suruh download aplikasi masuk kode promo mbak sales bilang saldo pesan ojek online coba dana promo pakai alih tunai laris aplikasi jangn nipu customer pergi
Lucky Sa,oke,5,Puas,1,oke
Mariana Abas,eror,5,Puas,1,eror
Vantera 25,apa nih aplikasi nunggu driver sampe menit anjay kaya belah,3,Netral,0,apa nih aplikasi nunggu driver sampe menit anjay kaya belah
Ringki Nababan,reinstal app sampah,2,Tidak Puas,2,reinstal app sampah
Cecil Ernie,jelek isi saldo masuk ongkos pas selesai ongkos ubah lwbih mahal drpd nyari driver susah banget skali dpt driver dtg menit gitu driver tolol kl karna lanjur isi wallet apk apus,1,Tidak Puas,2,jelek isi saldo masuk ongkos pas selesai ongkos ubah lwbih mahal drpd nyari driver susah banget skali dpt driver dtg menit gitu driver tolol kl karna lanjur isi wallet apk apus
Adek Haizal Firmansyah,tolong tingkat lgi maxim food,5,Puas,1,tolong tingkat lgi maxim food
PRIB,aplikasi gausah download gabisa batalin alas ny milih hadeh batalin nyari order,1,Tidak Puas,2,aplikasi gausah download gabisa batalin alas ny milih hadeh batalin nyari order
Melmel,kecewa driver maxim ugal karna setir ugal tumpang kecewa mohon maxim urus driver kecewa kadang sesuai foto aplikasi kalok setir ingat pelan driver ugal ugalan kecewa drivernya mohon baik sistem kalok order foto langsung,1,Tidak Puas,2,kecewa driver maxim ugal karna setir ugal tumpang kecewa mohon maxim urus driver kecewa kadang sesuai foto aplikasi kalok setir ingat pelan driver ugal ugalan kecewa drivernya mohon baik sistem kalok order foto langsung
Zulaika Baleno,mending baik aplikasi murah murah bikin pusing titik maps ntah mana ampun maxim,2,Tidak Puas,2,mending baik aplikasi murah murah bikin pusing titik maps ntah mana ampun maxim
Denni Guntur Putra,isi saldo uang kurang bank uang tidal tambah saldo maxim,1,Tidak Puas,2,isi saldo uang kurang bank uang tidal tambah saldo maxim
Andre Fauzi,tollong tingkat drivernya urgent ambil order kecewa,1,Tidak Puas,2,tollong tingkat drivernya urgent ambil order kecewa
Incess Mufidha,aplikasi jelekkk masak sen bolak balek dibatalin,1,Tidak Puas,2,aplikasi jelekkk masak sen bolak balek dibatalin
Kelvin Saa,aplikasi bagus drivernya ubah metode bayar kaspro alih tunai bilang driver sampe jemput gitu kam repot kali lohh tolong baru sistem bayar,5,Puas,1,aplikasi bagus drivernya ubah metode bayar kaspro alih tunai bilang driver sampe jemput gitu kam repot kali lohh tolong baru sistem bayar
Anwar Fauzi,nyari driver jam,1,Tidak Puas,2,nyari driver jam
Raihana Quratuain,gjls top e walet gabisa kepake alihin tunai bgt,1,Tidak Puas,2,gjls top e walet gabisa kepake alihin tunai bgt
Wienly Andryos,bagus,5,Puas,1,bagus
Yasmin Nasya,top tpi saldonga tetep gimana ya,1,Tidak Puas,2,top tpi saldonga tetep gimana ya
dodik sulfiantoro,pesan cancel perjalann,1,Tidak Puas,2,pesan cancel perjalann
Ahmad Syaifudin,ok,5,Puas,1,ok
Hendi Mewing,kurir maxim penting selamat costumer maxim kurir tawar helm jalan,4,Puas,1,kurir maxim penting selamat costumer maxim kurir tawar helm jalan
Dony Nafi,mahal car l sopir tdk muat klau dumuat org tdk suruh turun tdk pake ac,1,Tidak Puas,2,mahal car l sopir tdk muat klau dumuat org tdk suruh turun tdk pake ac
apang setiawan,buka knp instal apk bikin ribet,1,Tidak Puas,2,buka knp instal apk bikin ribet
Mando Jagok,oke bagat,5,Puas,1,oke bagat
Nurma Gita,maxim driver ajak ngomong sen good shop bilang nggaka uang grab langsung dapet ngg maxim bener bikin orang darah,1,Tidak Puas,2,maxim driver ajak ngomong sen good shop bilang nggaka uang grab langsung dapet ngg maxim bener bikin orang darah
Supriyana,apk maxim best,5,Puas,1,apk maxim best
Nia Kurnia,layan drevernya bagus tdk amah,1,Tidak Puas,2,layan drevernya bagus tdk amah
satyawati aryanti,keren,5,Puas,1,keren
depano 1255,kode otp masuk coba blokir males gw pake apk mending gojek ngentod,1,Tidak Puas,2,kode otp masuk coba blokir males gw pake apk mending gojek ngentod
grette company,bintang karna baik jelas potong biaya transfer tf virtual kaspro kali tf kaspro biaya tolong saldo maxim wallet langsung terupdate sisa saldo saldo isi,3,Netral,0,bintang karna baik jelas potong biaya transfer tf virtual kaspro kali tf kaspro biaya tolong saldo maxim wallet langsung terupdate sisa saldo saldo isi
Hardi Taf,apk bodong daftar,1,Tidak Puas,2,apk bodong daftar
Dede Yana,suka elor aplikasi titik jemput,1,Tidak Puas,2,suka elor aplikasi titik jemput
Niyana Reed,kecewa salah driver tunggu menit sampe telat masuk seko,1,Tidak Puas,2,kecewa salah driver tunggu menit sampe telat masuk seko
Fuad Saifi,tampil ganti biar lbh cool pandang,4,Puas,1,tampil ganti biar lbh cool pandang
ALFREIN EIN,mending download grab,1,Tidak Puas,2,mending download grab
riski ramadhan,lelet driver aplikasi kaku bngett,1,Tidak Puas,2,lelet driver aplikasi kaku bngett
Nia Fajartaufiq,bagus murah layan mantap,5,Puas,1,bagus murah layan mantap
karim onad,alam buruk super buruk tunggu cancel apk bagus driver kecewa tunggu jam cancel pemberitahuan tolong driver pakai jadi dkt station lempuyangan plat ae kali cancel kecewa,1,Tidak Puas,2,alam buruk super buruk tunggu cancel apk bagus driver kecewa tunggu jam cancel pemberitahuan tolong driver pakai jadi dkt station lempuyangan plat ae kali cancel kecewa
Ajinursejati Ajinursejati,aplikasi bagus guna nganter sekolah,5,Puas,1,aplikasi bagus guna nganter sekolah
Danang Firmansyah,harap maxim detail kait map alamat tuju map terkadang bingung titik jemput tuju,3,Netral,0,harap maxim detail kait map alamat tuju map terkadang bingung titik jemput tuju
Adi Jaya,ngaco nih login kode kirim,1,Tidak Puas,2,ngaco nih login kode kirim
waston Waston,kasih bintang map dibagusin,3,Netral,0,kasih bintang map dibagusin
Masyitah Nur Tahrir,saldo kaspro butuh masuk sy top masuk,3,Netral,0,saldo kaspro butuh masuk sy top masuk
Uly Red,update fitur gps susah banget nih tetep suka aplikasi,3,Netral,0,update fitur gps susah banget nih tetep suka aplikasi
Lydia Ayu,masuk aplikasi ya pdahal masuk hp gimana solusi,1,Tidak Puas,2,masuk aplikasi ya pdahal masuk hp gimana solusi
Cherry Collection,apk goblog kirim kode ampun,1,Tidak Puas,2,apk goblog kirim kode ampun
Mukhlis Gans,ni dapet kode otp gagal truss,1,Tidak Puas,2,ni dapet kode otp gagal truss
utak bao,top,5,Puas,1,top
ezafakhri 105,lamo bener ngirim kode nyo kasih rating sikok karna layan lelet,1,Tidak Puas,2,lamo bener ngirim kode nyo kasih rating sikok karna layan lelet
Pengguna Google,saldo kaspro masuk isi saldo hasil kirim dana aplikasi informasi kendala update sampe jelas aplikasi tanggal kirim email tetep gada info aplikasi fraud bgtt,1,Tidak Puas,2,saldo kaspro masuk isi saldo hasil kirim dana aplikasi informasi kendala update sampe jelas aplikasi tanggal kirim email tetep gada info aplikasi fraud bgtt
In Illusion,login kode wa mohon solusi segera,1,Tidak Puas,2,login kode wa mohon solusi segera
Abnk Sobroken,bagus tpi nyari alamat alamat lengkap kaya beda google maps,4,Puas,1,bagus tpi nyari alamat alamat lengkap kaya beda google maps
Ari Trafis,top,5,Puas,1,top
walius zalikin,sedia peta mode satelit,5,Puas,1,sedia peta mode satelit
Abd muid Daud,mantap,5,Puas,1,mantap
Nexus,apaniwoi paksa download aplikasi sekolah ngeleg,1,Tidak Puas,2,apaniwoi paksa download aplikasi sekolah ngeleg
Cibo Boboo,cari driver ambil driver jarak tunggu,1,Tidak Puas,2,cari driver ambil driver jarak tunggu
Wisnu Wardana,mudah murah layan langgan kasih bintang good jobb,5,Puas,1,mudah murah layan langgan kasih bintang good jobb
Asep Sunandar,bagus pesan ojek online,5,Puas,1,bagus pesan ojek online
Nur Hasanah,good,5,Puas,1,good
naya resita,good,5,Puas,1,good
fauzy,aplikasi bantu tarif murah lovee u,5,Puas,1,aplikasi bantu tarif murah lovee u
Sekar Cantik,kecewa kantorx cuman duduk anteng kantor aplikasi sesusai dng titik jemput dr dlu sy pakai maxim bener jadwal penjemputanx dtengx mbok bener gituloh misalken telat menit cinchailah trus tegur kantorx jng seenakx ngelaporin orang pakai atribut alsanx karna kawan sy lapor orang kantorx beli jaket kasi,2,Tidak Puas,2,kecewa kantorx cuman duduk anteng kantor aplikasi sesusai dng titik jemput dr dlu sy pakai maxim bener jadwal penjemputanx dtengx mbok bener gituloh misalken telat menit cinchailah trus tegur kantorx jng seenakx ngelaporin orang pakai atribut alsanx karna kawan sy lapor orang kantorx beli jaket kasi
Zavier YW,enak murah banget,5,Puas,1,enak murah banget
Sumari Jati1973,kemarin harga,1,Tidak Puas,2,kemarin harga
Filbert deo,aneh,1,Tidak Puas,2,aneh
Spy Erind,tolong maxim wallet kaspro benerin kalo ganti wallet pake kaspro error walletnya duit gw ilang dipake bayar mah delay mulu kalo top,3,Netral,0,tolong maxim wallet kaspro benerin kalo ganti wallet pake kaspro error walletnya duit gw ilang dipake bayar mah delay mulu kalo top
natasyah jaya,pokoke mantullleee,5,Puas,1,pokoke mantullleee
Maria Helena Mau Tobu,top dana akun blokir saldo hangus,1,Tidak Puas,2,top dana akun blokir saldo hangus
Alda Alda,wil papua barat sy pakai maxim suka dpt kendala cht dg cs tdk ad,1,Tidak Puas,2,wil papua barat sy pakai maxim suka dpt kendala cht dg cs tdk ad
Rahmah Junita,drivernya ramah sabar kemudi ugal ugalan poko nyaman dgn apl maxim launching skrg harga normal jangkau,5,Puas,1,drivernya ramah sabar kemudi ugal ugalan poko nyaman dgn apl maxim launching skrg harga normal jangkau
Ya Nar,kecewa banget sumpah dapet layan buruk banget nunggu dibatalin ngomel sampe pake bahasa posisi lgi kecuali lgi santay nunggu posisi lgi dpet layan kocak ujung plat nomor hati hati,2,Tidak Puas,2,kecewa banget sumpah dapet layan buruk banget nunggu dibatalin ngomel sampe pake bahasa posisi lgi kecuali lgi santay nunggu posisi lgi dpet layan kocak ujung plat nomor hati hati
DEVRIZAL LUTHFIANSYAH,maxim tumpang keluh jalan harga rp tuju rp bayar rp uang driver tunggu macet selesai bayar driver aplikasi ubah,1,Tidak Puas,2,maxim tumpang keluh jalan harga rp tuju rp bayar rp uang driver tunggu macet selesai bayar driver aplikasi ubah
Khanza Azahra,drivernya ramah,5,Puas,1,drivernya ramah
Dagiel BINE,mantap,5,Puas,1,mantap
Tamir Zuhdi Sopiadi,kemudi jujur salah ngasih duit,1,Tidak Puas,2,kemudi jujur salah ngasih duit
Robby Sanda,,5,Puas,1,
Yandris Banunaek,mantapssss,5,Puas,1,mantapssss
Ana Sihombing,batalin,1,Tidak Puas,2,batalin
Shilla Formosa,kode otp kirim kirim nomer gagal uninstall mending pake,1,Tidak Puas,2,kode otp kirim kirim nomer gagal uninstall mending pake
Tasnim Asnim86,,5,Puas,1,
Sofia Piri,bnr kecewa maxim beli makan harga rbu ongkirnya rbu mna duit segitu batalin pusing sndri moga drivernya dtg kesini rmh duit segitu jdi unistal aplikasi,1,Tidak Puas,2,bnr kecewa maxim beli makan harga rbu ongkirnya rbu mna duit segitu batalin pusing sndri moga drivernya dtg kesini rmh duit segitu jdi unistal aplikasi
Iswati Is,puas layan maxim,5,Puas,1,puas layan maxim
niran (ian),good,5,Puas,1,good
Abu Muhammad,sulit login perbaikalah,3,Netral,0,sulit login perbaikalah
Utsuki 1413,kalo scam sok promosi sma ya orang awam ojol kecewa sok sok promosi kode promo rp bilang full pay pakai cuman sisa bayar tunai kalo niat kasih gausah kasih,1,Tidak Puas,2,kalo scam sok promosi sma ya orang awam ojol kecewa sok sok promosi kode promo rp bilang full pay pakai cuman sisa bayar tunai kalo niat kasih gausah kasih
gilang Awie,update tanggal september tanggal update maxim masak update ni maxim,5,Puas,1,update tanggal september tanggal update maxim masak update ni maxim
Yùęm bærbìę Lïñg,kecewa ojol maxim order alesan makan pup kempes ban motor isi bensin nih fatal antar selesai jalan antar tuju parahh saldo potong komplain bom nanggapi detik,1,Tidak Puas,2,kecewa ojol maxim order alesan makan pup kempes ban motor isi bensin nih fatal antar selesai jalan antar tuju parahh saldo potong komplain bom nanggapi detik
